,F-4E,F-15C,F/A-18A,AV-8B,A6,,
ps,0.356,0.334,0.357,0.219,0.33,,0.3192
S,50.911,55.649,37.161,21.368,48.31,,
CLMax,1.2,2.1,1.7,1.435,2.1,,
mpl,1285,1451,3649,2314,907,,
AR,2.77,3.01,3.52,4,5,,
T,79620*2,106000*2,71000*2,105868,37000*2,,
TSFC,2.40E-05,2.07E-05,N/A,2.24E-05,2.32E-05,,
mf,5469,6103,5503,3519,3975,,
CD0,0.0205,0.0218,0.0239,N/A,0.023,,
Vstall,52.4,39.4,60.1,62.5,,,
ROC,294,390,152,N/A,,,
R,1825,2193,N/A,807,,,
rTurn,280.6,158.5,368.3,397,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0.992753623188406,0.833333333333334,1,0,0.804347826086957,,
,0.861789329366121,1,0.460692511887051,0,0.785916396837899,,
,0,1,0.555555555555556,0.261111111111111,1,,
,0.137855579868709,0.198395331874544,1,0.513129102844639,0,,
,0,0.10762331838565,0.336322869955157,0.551569506726457,1,,
,0.977748691099477,1.39267015706806,1,-0.298429319371728,0,,
,-2.77777777777777,-1.33333333333333,1,#VALUE!,0,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Aircraft,PS,S,CLMax,mpl,AR,T,
F-4E,0.9928,0.8611,0,0.1379,0,0.6177,
F-15C,0.8333,1,1,0.1984,0.1076,1,
F/A-18A,1,0.4608,0.5556,1,0.3363,0.4928,
AV-8B,0,0,0.2611,0.5131,0.5516,0.2309,
A-6A,0.8043,0.7859,1,0,1,0,
