,Intercept Aircraft,Loiter,Attack Ground Targets,Track Targets,Prioritise Targets,Conduct Beyond Visual Range Combat,Conduct Visual Range Combat,Employ Active EW Countermeasures,Communicate with Operator,Communicate over Datalink,Refuel when Landed,Refuel in Air,Facilitate Maintenance,Land at Airfield,Land on Aircraft Carrier,Land Autonomously,Take Off from Airfield,Take Off from Aircraft Carrier,Take Off Autonomously,Manoeuvre Autonomously
Intercept Aircraft,1.000000,0.333333,3.000000,0.333333,3.000000,3.000000,0.333333,3.000000,3.000000,3.000000,5.000000,3.000000,5.000000,5.000000,7.000000,5.000000,5.000000,7.000000,5.000000,3.000000
Loiter,3.000000,1.000000,5.000000,3.000000,5.000000,5.000000,3.000000,5.000000,5.000000,5.000000,7.000000,5.000000,7.000000,7.000000,9.000000,7.000000,7.000000,9.000000,7.000000,5.000000
Attack Ground Targets,0.333333,0.200000,1.000000,0.200000,0.333333,0.333333,0.200000,1.000000,1.000000,0.333333,3.000000,0.333333,3.000000,3.000000,5.000000,3.000000,3.000000,5.000000,3.000000,0.333333
Track Targets,3.000000,0.333333,5.000000,1.000000,3.000000,3.000000,0.333333,3.000000,3.000000,3.000000,5.000000,3.000000,5.000000,5.000000,7.000000,5.000000,5.000000,7.000000,5.000000,3.000000
Prioritise Targets,0.333333,0.200000,3.000000,0.333333,1.000000,1.000000,0.200000,3.000000,3.000000,3.000000,5.000000,3.000000,5.000000,5.000000,7.000000,5.000000,5.000000,7.000000,5.000000,3.000000
Conduct Beyond Visual Range Combat,0.333333,0.200000,3.000000,0.333333,1.000000,1.000000,0.333333,3.000000,3.000000,3.000000,5.000000,3.000000,5.000000,5.000000,7.000000,5.000000,5.000000,7.000000,5.000000,3.000000
Conduct Visual Range Combat,3.000000,0.333333,5.000000,3.000000,5.000000,3.000000,1.000000,5.000000,5.000000,5.000000,7.000000,5.000000,7.000000,7.000000,9.000000,7.000000,7.000000,9.000000,7.000000,5.000000
Employ Active EW Countermeasures,0.333333,0.200000,1.000000,0.333333,0.333333,0.333333,0.200000,1.000000,3.000000,3.000000,5.000000,3.000000,5.000000,5.000000,7.000000,5.000000,5.000000,7.000000,5.000000,3.000000
Communicate with Operator,0.333333,0.200000,1.000000,0.333333,0.333333,0.333333,0.200000,0.333333,1.000000,3.000000,5.000000,3.000000,5.000000,5.000000,7.000000,5.000000,5.000000,7.000000,5.000000,3.000000
Communicate over Datalink,0.333333,0.200000,3.000000,0.333333,0.333333,0.333333,0.200000,0.333333,0.333333,1.000000,5.000000,3.000000,5.000000,5.000000,7.000000,5.000000,5.000000,7.000000,5.000000,3.000000
Refuel when Landed,0.200000,0.142857,0.333333,0.200000,0.200000,0.200000,0.142857,0.200000,0.200000,0.200000,1.000000,0.333333,3.000000,3.000000,5.000000,3.000000,3.000000,5.000000,3.000000,0.333333
Refuel in Air,0.333333,0.200000,3.000000,0.333333,0.333333,0.333333,0.200000,0.333333,0.333333,0.333333,3.000000,1.000000,3.000000,5.000000,7.000000,5.000000,5.000000,7.000000,5.000000,3.000000
Facilitate Maintenance,0.200000,0.142857,0.333333,0.200000,0.200000,0.200000,0.142857,0.200000,0.200000,0.200000,0.333333,0.333333,1.000000,3.000000,5.000000,3.000000,3.000000,5.000000,3.000000,0.333333
Land at Airfield,0.200000,0.142857,0.333333,0.200000,0.200000,0.200000,0.142857,0.200000,0.200000,0.200000,0.333333,0.200000,0.333333,1.000000,3.000000,3.000000,3.000000,5.000000,3.000000,0.333333
Land on Aircraft Carrier,0.142857,0.111111,0.200000,0.142857,0.142857,0.142857,0.111111,0.142857,0.142857,0.142857,0.200000,0.142857,0.200000,0.333333,1.000000,0.333333,0.333333,3.000000,0.333333,0.200000
Land Autonomously,0.200000,0.142857,0.333333,0.200000,0.200000,0.200000,0.142857,0.200000,0.200000,0.200000,0.333333,0.200000,0.333333,0.333333,3.000000,1.000000,3.000000,5.000000,3.000000,0.333333
Take Off from Airfield,0.200000,0.142857,0.333333,0.200000,0.200000,0.200000,0.142857,0.200000,0.200000,0.200000,0.333333,0.200000,0.333333,0.333333,3.000000,0.333333,1.000000,5.000000,3.000000,0.333333
Take Off from Aircraft Carrier,0.142857,0.111111,0.200000,0.142857,0.142857,0.142857,0.111111,0.142857,0.142857,0.142857,0.200000,0.142857,0.200000,0.200000,0.333333,0.200000,0.200000,1.000000,0.333333,0.200000
Take Off Autonomously,0.200000,0.142857,0.333333,0.200000,0.200000,0.200000,0.142857,0.200000,0.200000,0.200000,0.333333,0.200000,0.333333,0.333333,3.000000,0.333333,0.333333,3.000000,1.000000,0.333333
Manoeuvre Autonomously,0.333333,0.200000,3.000000,0.333333,0.333333,0.333333,0.200000,0.333333,0.333333,0.333333,3.000000,0.333333,3.000000,3.000000,5.000000,3.000000,3.000000,5.000000,3.000000,1.000000
